0.352848,3037.87917225544
0.493678,2252.26165429595
0.602195,1862.9821223581
0.629778,1782.60583184367
0.646527,1736.7242300297
0.668805,1678.82672003846
0.766946,1459.63900417297
0.838577,1329.07965740088
0.960945,1147.79564122181
0.969538,1136.6728976434
1.03079,1062.46847944782
1.03143,1061.73726743012
1.04649,1044.77673660701
1.04945,1041.49774805177
1.05841,1031.67886821112
1.06331,1026.37604492711
1.07577,1013.09997834788
1.08862,999.713573850663
1.09147,996.785605883964
1.10883,979.263414655795
1.1118,976.31846078922
1.16108,929.581482874277
1.17045,921.127083457222
1.17867,913.81805479183
1.18908,904.703110600616
1.19402,900.431943733681
1.20427,891.678953782034
1.21469,882.928974977549
1.22498,874.431349804554
1.22843,871.613562670391
1.23965,862.556184794826
1.27073,838.289393973909
1.28686,826.151697452261
1.28888,824.65285422958
1.28965,824.082737719348
1.31532,805.455499879783
1.33131,794.213490439834
1.35207,780.013458375271
1.35556,777.668929628181
1.35797,776.056964334987
1.37503,764.807907420655
1.3821,760.22767181508
1.39394,752.661722378425
1.41065,742.201112852844
1.42571,732.985112470482
1.45606,714.997575770751
1.45758,714.116660938531
1.46603,709.253251419537
1.48489,698.60108491622
1.48709,697.376413869993
1.49111,695.148108498243
1.4916,694.877335398425
1.52084,679.041386349022
1.5289,674.784959032594
1.53386,672.1883665877
1.5601,658.733011436769
1.57802,649.807961021595
1.5893,644.296168759236
1.59225,642.86797291068
1.59276,642.621617544277
1.60586,636.348994821629
1.6184,630.44274829602
1.64523,618.118863781474
1.65452,613.948240842631
1.65763,612.562893654805
1.67942,603.006163520148
1.68611,600.123630144051
1.69264,597.332944245653
1.69346,596.984092451032
1.69687,595.537153341657
1.70923,590.343047901163
1.72574,583.526270039278
1.73012,581.740674474094
1.73021,581.70408345621
1.75628,571.270389976376
1.76505,567.833202193186
1.77311,564.705811845772
1.77739,563.057248011368
1.78915,558.570321735782
1.79881,554.930899844888
1.80253,553.540361985464
1.80262,553.506795024724
1.8075,551.692005745052
1.82411,545.591927016999
1.82629,544.800027857513
1.83265,542.501115444263
